연도,월,기준월,시도,충전량_kWh,충전횟수,충전시간_h,활성충전기수
2020,2,2020-02,인천,58852.42,3434.0,705.88,58.0
2020,2,2020-02,전남,77030.19,4903.0,1165.58,165.0
2020,2,2020-02,전북,100459.97,5745.0,1321.27,135.0
2020,2,2020-02,제주,111087.49,7438.0,1736.33,84.0
2020,2,2020-02,충남,145257.93,8418.0,1973.8,160.0
2020,2,2020-02,충북,144554.69,8192.0,1960.0,143.0
2020,3,2020-03,강원,113021.85,6601.0,1610.55,246.0
2020,3,2020-03,경기,238753.37,13554.0,3412.41,222.0
2020,3,2020-03,경남,111956.58,6822.0,1759.64,201.0
2020,3,2020-03,경북,222417.29,12822.0,3188.22,323.0
2020,3,2020-03,광주,32093.51,1822.0,382.12,51.0
2020,3,2020-03,대구,80763.96,4726.0,973.59,79.0
2020,3,2020-03,대전,50737.67,2773.0,625.89,75.0
2020,3,2020-03,부산,30301.78,1783.0,389.93,47.0
2020,3,2020-03,서울,78846.65,4773.0,1027.58,76.0
2020,3,2020-03,세종,14373.8,903.0,192.11,22.0
2020,3,2020-03,울산,42945.13,2450.0,593.88,90.0
2020,3,2020-03,인천,65394.99,3518.0,769.43,63.0
2020,3,2020-03,전남,95842.24,5787.0,1369.45,230.0
2020,3,2020-03,전북,114277.23,6175.0,1472.4,177.0
2020,3,2020-03,제주,115014.1,7438.0,1750.56,98.0
2020,3,2020-03,충남,150636.25,8513.0,2082.1,204.0
2020,3,2020-03,충북,132918.35,7529.0,1859.11,186.0
2020,4,2020-04,강원,112586.72,6469.0,1659.05,261.0
2020,4,2020-04,경기,241086.51,13597.0,3472.27,279.0
2020,4,2020-04,경남,125539.6,7322.0,1885.85,197.0
2020,4,2020-04,경북,272582.96,14912.0,3757.6,351.0
2020,4,2020-04,광주,37191.46,2009.0,456.39,49.0
2020,4,2020-04,대구,92406.65,5011.0,1047.0,81.0
2020,4,2020-04,대전,55239.53,2946.0,660.97,75.0
2020,4,2020-04,부산,32087.9,1777.0,381.93,42.0
2020,4,2020-04,서울,77784.84,4598.0,1003.02,120.0
2020,4,2020-04,세종,15519.85,864.0,173.88,27.0
2020,4,2020-04,울산,48023.12,2659.0,588.22,85.0
2020,4,2020-04,인천,62203.64,3309.0,757.84,85.0
2020,4,2020-04,전남,112093.81,6253.0,1454.23,225.0
2020,4,2020-04,전북,136895.79,7007.0,1736.94,158.0
2020,4,2020-04,제주,105934.37,6740.0,1563.51,104.0
2020,4,2020-04,충남,176966.25,9460.0,2358.44,193.0
2020,4,2020-04,충북,161860.67,8779.0,2250.26,168.0
2020,5,2020-05,강원,134109.17,7504.0,1971.6,260.0
2020,5,2020-05,경기,258121.79,14006.0,3820.7,282.0
2020,5,2020-05,경남,155092.57,8788.0,2245.58,215.0
2020,5,2020-05,경북,317048.75,16751.0,4341.74,364.0
2020,5,2020-05,광주,37072.53,1921.0,468.26,51.0
2020,5,2020-05,대구,109955.34,5593.0,1278.59,91.0
2020,5,2020-05,대전,63268.48,3231.0,772.46,76.0
2020,5,2020-05,부산,37535.71,2042.0,523.55,50.0
2020,5,2020-05,서울,89093.5,4979.0,1164.45,117.0
2020,5,2020-05,세종,16645.17,913.0,212.22,30.0
2020,5,2020-05,울산,51148.5,2689.0,635.33,91.0
2020,5,2020-05,인천,65919.4,3481.0,891.3,79.0
2020,5,2020-05,전남,119722.34,6422.0,1608.24,234.0
2020,5,2020-05,전북,159333.72,7851.0,2026.87,172.0
2020,5,2020-05,제주,121872.91,7512.0,1953.08,122.0
2020,5,2020-05,충남,192814.85,9857.0,2529.05,210.0
2020,5,2020-05,충북,178326.04,9366.0,2520.91,183.0
2020,6,2020-06,강원,142380.82,8871.0,2307.01,283.0
2020,6,2020-06,경기,292210.42,15615.0,4422.84,288.0
2020,6,2020-06,경남,165401.59,9105.0,2384.06,231.0
2020,6,2020-06,경북,339434.78,17246.0,4650.18,393.0
2020,6,2020-06,광주,41368.41,2067.0,542.07,50.0
2020,6,2020-06,대구,127736.14,6318.0,1591.65,94.0
2020,6,2020-06,대전,71753.51,3495.0,867.15,80.0
2020,6,2020-06,부산,46962.63,2354.0,603.84,53.0
2020,6,2020-06,서울,118662.68,6426.0,1627.85,125.0
2020,6,2020-06,세종,21808.47,1103.0,341.25,32.0
2020,6,2020-06,울산,54084.23,2755.0,668.48,97.0
2020,6,2020-06,인천,79852.91,4177.0,1174.52,91.0
2020,6,2020-06,전남,121600.66,6876.0,1754.67,258.0
2020,6,2020-06,전북,166634.29,8572.0,2308.06,183.0
