기준월,연도,월,시도,충전량_kWh,value_status,관측값,estimated_value,하한_80,상한_80,모형ID,출처ID
2019-09,2019,9,충북,156545.23,observed,156545.23,,,,,moe_public_fast_monthly
2019-10,2019,10,강원,138912.49,observed,138912.49,,,,,moe_public_fast_monthly
2019-10,2019,10,경기,258159.61,observed,258159.61,,,,,moe_public_fast_monthly
2019-10,2019,10,경남,143185.11,observed,143185.11,,,,,moe_public_fast_monthly
2019-10,2019,10,경북,322849.12,observed,322849.12,,,,,moe_public_fast_monthly
2019-10,2019,10,광주,35655.41,observed,35655.41,,,,,moe_public_fast_monthly
2019-10,2019,10,대구,79295.77,observed,79295.77,,,,,moe_public_fast_monthly
2019-10,2019,10,대전,59272.25,observed,59272.25,,,,,moe_public_fast_monthly
2019-10,2019,10,부산,31064.78,observed,31064.78,,,,,moe_public_fast_monthly
2019-10,2019,10,서울,68347.78,observed,68347.78,,,,,moe_public_fast_monthly
2019-10,2019,10,세종,14412.49,observed,14412.49,,,,,moe_public_fast_monthly
2019-10,2019,10,울산,52324.78,observed,52324.78,,,,,moe_public_fast_monthly
2019-10,2019,10,인천,51203.77,observed,51203.77,,,,,moe_public_fast_monthly
2019-10,2019,10,전남,103450.54,observed,103450.54,,,,,moe_public_fast_monthly
2019-10,2019,10,전북,129031.6,observed,129031.6,,,,,moe_public_fast_monthly
2019-10,2019,10,제주,148889.52,observed,148889.52,,,,,moe_public_fast_monthly
2019-10,2019,10,충남,191594.48,observed,191594.48,,,,,moe_public_fast_monthly
2019-10,2019,10,충북,167776.58,observed,167776.58,,,,,moe_public_fast_monthly
2019-11,2019,11,강원,143812.94,observed,143812.94,,,,,moe_public_fast_monthly
2019-11,2019,11,경기,279273.02,observed,279273.02,,,,,moe_public_fast_monthly
2019-11,2019,11,경남,143868.72,observed,143868.72,,,,,moe_public_fast_monthly
2019-11,2019,11,경북,331842.85,observed,331842.85,,,,,moe_public_fast_monthly
2019-11,2019,11,광주,42971.34,observed,42971.34,,,,,moe_public_fast_monthly
2019-11,2019,11,대구,89720.14,observed,89720.14,,,,,moe_public_fast_monthly
2019-11,2019,11,대전,62768.51,observed,62768.51,,,,,moe_public_fast_monthly
2019-11,2019,11,부산,36740.43,observed,36740.43,,,,,moe_public_fast_monthly
2019-11,2019,11,서울,82426.99,observed,82426.99,,,,,moe_public_fast_monthly
2019-11,2019,11,세종,15355.04,observed,15355.04,,,,,moe_public_fast_monthly
2019-11,2019,11,울산,62934.84,observed,62934.84,,,,,moe_public_fast_monthly
2019-11,2019,11,인천,60450.93,observed,60450.93,,,,,moe_public_fast_monthly
2019-11,2019,11,전남,107496.21,observed,107496.21,,,,,moe_public_fast_monthly
2019-11,2019,11,전북,142026.4,observed,142026.4,,,,,moe_public_fast_monthly
