기준월,연도,월,시도,예측값,value_status,component_moe_scaled,component_load_share,weight_moe,weight_load,모형ID,충전량_kWh,관측값,estimated_value,출처ID
2019-04,2019,4,인천,27686.51,estimated,27686.51,89981.07,1.0,0.0,kepco_hybrid_moe_load_v1,27686.51,,27686.51,kepco_hybrid_forecast_v1
2019-04,2019,4,전남,105883.96,estimated,105883.96,133273.84,1.0,0.0,kepco_hybrid_moe_load_v1,105883.96,,105883.96,kepco_hybrid_forecast_v1
2019-04,2019,4,전북,50900.59,estimated,50900.59,104411.99,1.0,0.0,kepco_hybrid_moe_load_v1,50900.59,,50900.59,kepco_hybrid_forecast_v1
2019-04,2019,4,제주,181328.7,estimated,181328.7,140913.75,1.0,0.0,kepco_hybrid_moe_load_v1,181328.7,,181328.7,kepco_hybrid_forecast_v1
2019-04,2019,4,충남,54312.55,estimated,54312.55,87434.43,1.0,0.0,kepco_hybrid_moe_load_v1,54312.55,,54312.55,kepco_hybrid_forecast_v1
2019-04,2019,4,충북,71633.65,estimated,71633.65,111203.02,1.0,0.0,kepco_hybrid_moe_load_v1,71633.65,,71633.65,kepco_hybrid_forecast_v1
2019-05,2019,5,강원,96854.34,estimated,96854.34,132397.58,1.0,0.0,kepco_hybrid_moe_load_v1,96854.34,,96854.34,kepco_hybrid_forecast_v1
2019-05,2019,5,경기,203766.5,estimated,203766.5,494893.03,1.0,0.0,kepco_hybrid_moe_load_v1,203766.5,,203766.5,kepco_hybrid_forecast_v1
2019-05,2019,5,경남,133960.76,estimated,133960.76,166181.79,1.0,0.0,kepco_hybrid_moe_load_v1,133960.76,,133960.76,kepco_hybrid_forecast_v1
2019-05,2019,5,경북,122260.26,estimated,122260.26,145180.8,1.0,0.0,kepco_hybrid_moe_load_v1,122260.26,,122260.26,kepco_hybrid_forecast_v1
2019-05,2019,5,광주,43363.3,estimated,43363.3,60263.73,1.0,0.0,kepco_hybrid_moe_load_v1,43363.3,,43363.3,kepco_hybrid_forecast_v1
2019-05,2019,5,대구,152342.03,estimated,152342.03,134223.76,1.0,0.0,kepco_hybrid_moe_load_v1,152342.03,,152342.03,kepco_hybrid_forecast_v1
2019-05,2019,5,대전,66537.84,estimated,66537.84,70307.68,1.0,0.0,kepco_hybrid_moe_load_v1,66537.84,,66537.84,kepco_hybrid_forecast_v1
2019-05,2019,5,부산,50411.65,estimated,50411.65,96787.2,1.0,0.0,kepco_hybrid_moe_load_v1,50411.65,,50411.65,kepco_hybrid_forecast_v1
2019-05,2019,5,서울,108083.99,estimated,108083.99,405410.53,1.0,0.0,kepco_hybrid_moe_load_v1,108083.99,,108083.99,kepco_hybrid_forecast_v1
2019-05,2019,5,세종,45023.88,estimated,45023.88,51132.86,1.0,0.0,kepco_hybrid_moe_load_v1,45023.88,,45023.88,kepco_hybrid_forecast_v1
2019-05,2019,5,울산,15585.43,estimated,15585.43,32871.12,1.0,0.0,kepco_hybrid_moe_load_v1,15585.43,,15585.43,kepco_hybrid_forecast_v1
2019-05,2019,5,인천,36708.55,estimated,36708.55,96787.2,1.0,0.0,kepco_hybrid_moe_load_v1,36708.55,,36708.55,kepco_hybrid_forecast_v1
2019-05,2019,5,전남,115842.17,estimated,115842.17,143354.62,1.0,0.0,kepco_hybrid_moe_load_v1,115842.17,,115842.17,kepco_hybrid_forecast_v1
2019-05,2019,5,전북,60275.33,estimated,60275.33,112309.67,1.0,0.0,kepco_hybrid_moe_load_v1,60275.33,,60275.33,kepco_hybrid_forecast_v1
2019-05,2019,5,제주,256424.51,estimated,256424.51,151572.41,1.0,0.0,kepco_hybrid_moe_load_v1,256424.51,,256424.51,kepco_hybrid_forecast_v1
2019-05,2019,5,충남,68127.59,estimated,68127.59,94047.94,1.0,0.0,kepco_hybrid_moe_load_v1,68127.59,,68127.59,kepco_hybrid_forecast_v1
2019-05,2019,5,충북,85951.06,estimated,85951.06,119614.37,1.0,0.0,kepco_hybrid_moe_load_v1,85951.06,,85951.06,kepco_hybrid_forecast_v1
2019-06,2019,6,강원,127645.48,estimated,127645.48,284791.43,1.0,0.0,kepco_hybrid_moe_load_v1,127645.48,,127645.48,kepco_hybrid_forecast_v1
2019-06,2019,6,경기,215637.13,estimated,215637.13,1064530.74,1.0,0.0,kepco_hybrid_moe_load_v1,215637.13,,215637.13,kepco_hybrid_forecast_v1
2019-06,2019,6,경남,144737.12,estimated,144737.12,357462.35,1.0,0.0,kepco_hybrid_moe_load_v1,144737.12,,144737.12,kepco_hybrid_forecast_v1
2019-06,2019,6,경북,133054.22,estimated,133054.22,312288.54,1.0,0.0,kepco_hybrid_moe_load_v1,133054.22,,133054.22,kepco_hybrid_forecast_v1
2019-06,2019,6,광주,40957.34,estimated,40957.34,129629.2,1.0,0.0,kepco_hybrid_moe_load_v1,40957.34,,40957.34,kepco_hybrid_forecast_v1
2019-06,2019,6,대구,158410.79,estimated,158410.79,288719.59,1.0,0.0,kepco_hybrid_moe_load_v1,158410.79,,158410.79,kepco_hybrid_forecast_v1
2019-06,2019,6,대전,71231.18,estimated,71231.18,151234.07,1.0,0.0,kepco_hybrid_moe_load_v1,71231.18,,71231.18,kepco_hybrid_forecast_v1
2019-06,2019,6,부산,53703.02,estimated,53703.02,208192.36,1.0,0.0,kepco_hybrid_moe_load_v1,53703.02,,53703.02,kepco_hybrid_forecast_v1
2019-06,2019,6,서울,110997.64,estimated,110997.64,872051.01,1.0,0.0,kepco_hybrid_moe_load_v1,110997.64,,110997.64,kepco_hybrid_forecast_v1
2019-06,2019,6,세종,52753.25,estimated,52753.25,109988.42,1.0,0.0,kepco_hybrid_moe_load_v1,52753.25,,52753.25,kepco_hybrid_forecast_v1
2019-06,2019,6,울산,17512.7,estimated,17512.7,70706.84,1.0,0.0,kepco_hybrid_moe_load_v1,17512.7,,17512.7,kepco_hybrid_forecast_v1
2019-06,2019,6,인천,60802.83,estimated,60802.83,208192.36,1.0,0.0,kepco_hybrid_moe_load_v1,60802.83,,60802.83,kepco_hybrid_forecast_v1
2019-06,2019,6,전남,137940.73,estimated,137940.73,308360.38,1.0,0.0,kepco_hybrid_moe_load_v1,137940.73,,137940.73,kepco_hybrid_forecast_v1
2019-06,2019,6,전북,61355.01,estimated,61355.01,241581.7,1.0,0.0,kepco_hybrid_moe_load_v1,61355.01,,61355.01,kepco_hybrid_forecast_v1
2019-06,2019,6,제주,357976.02,estimated,357976.02,326037.09,1.0,0.0,kepco_hybrid_moe_load_v1,357976.02,,357976.02,kepco_hybrid_forecast_v1
2019-06,2019,6,충남,69871.12,estimated,69871.12,202300.12,1.0,0.0,kepco_hybrid_moe_load_v1,69871.12,,69871.12,kepco_hybrid_forecast_v1
2019-06,2019,6,충북,91813.07,estimated,91813.07,257294.33,1.0,0.0,kepco_hybrid_moe_load_v1,91813.07,,91813.07,kepco_hybrid_forecast_v1
2019-07,2019,7,강원,143162.76,estimated,143162.76,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,143162.76,,143162.76,kepco_hybrid_forecast_v1
2019-07,2019,7,경기,246289.5,estimated,246289.5,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,246289.5,,246289.5,kepco_hybrid_forecast_v1
2019-07,2019,7,경남,165028.07,estimated,165028.07,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,165028.07,,165028.07,kepco_hybrid_forecast_v1
2019-07,2019,7,경북,150349.7,estimated,150349.7,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,150349.7,,150349.7,kepco_hybrid_forecast_v1
2019-07,2019,7,광주,77872.91,estimated,77872.91,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,77872.91,,77872.91,kepco_hybrid_forecast_v1
2019-07,2019,7,대구,163890.46,estimated,163890.46,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,163890.46,,163890.46,kepco_hybrid_forecast_v1
2019-07,2019,7,대전,79775.7,estimated,79775.7,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,79775.7,,79775.7,kepco_hybrid_forecast_v1
2019-07,2019,7,부산,56540.29,estimated,56540.29,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,56540.29,,56540.29,kepco_hybrid_forecast_v1
2019-07,2019,7,서울,157565.3,estimated,157565.3,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,157565.3,,157565.3,kepco_hybrid_forecast_v1
2019-07,2019,7,세종,48459.51,estimated,48459.51,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,48459.51,,48459.51,kepco_hybrid_forecast_v1
2019-07,2019,7,울산,22649.93,estimated,22649.93,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,22649.93,,22649.93,kepco_hybrid_forecast_v1
2019-07,2019,7,인천,61555.4,estimated,61555.4,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,61555.4,,61555.4,kepco_hybrid_forecast_v1
2019-07,2019,7,전남,163949.94,estimated,163949.94,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,163949.94,,163949.94,kepco_hybrid_forecast_v1
2019-07,2019,7,전북,67533.52,estimated,67533.52,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,67533.52,,67533.52,kepco_hybrid_forecast_v1
2019-07,2019,7,제주,400839.54,estimated,400839.54,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,400839.54,,400839.54,kepco_hybrid_forecast_v1
2019-07,2019,7,충남,74165.15,estimated,74165.15,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,74165.15,,74165.15,kepco_hybrid_forecast_v1
2019-07,2019,7,충북,102540.51,estimated,102540.51,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,102540.51,,102540.51,kepco_hybrid_forecast_v1
2019-08,2019,8,강원,180846.15,estimated,180846.15,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,180846.15,,180846.15,kepco_hybrid_forecast_v1
2019-08,2019,8,경기,285475.28,estimated,285475.28,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,285475.28,,285475.28,kepco_hybrid_forecast_v1
2019-08,2019,8,경남,197726.34,estimated,197726.34,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,197726.34,,197726.34,kepco_hybrid_forecast_v1
2019-08,2019,8,경북,178727.01,estimated,178727.01,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,178727.01,,178727.01,kepco_hybrid_forecast_v1
2019-08,2019,8,광주,91618.24,estimated,91618.24,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,91618.24,,91618.24,kepco_hybrid_forecast_v1
