기준월,연도,월,시도,metric_name,예측값,component_moe_scaled,component_load_share,weight_moe,weight_load,ratio_applied,load_index_applied,모형ID,value_status,data_quality_note,generated_at,예측버전
2019-03,2019,3,울산,charge_kwh_sum,10901.52,10901.52,29931.48,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,세종,charge_kwh_sum,27648.27,27648.27,46560.08,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,경기,charge_kwh_sum,139693.85,139693.85,450635.1,1.0,0.0,1.1309,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,강원,charge_kwh_sum,59500.29,59500.29,120557.36,1.0,0.0,1.1109,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,충북,charge_kwh_sum,60336.94,60336.94,108917.34,1.0,0.0,0.688,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,충남,charge_kwh_sum,37859.05,37859.05,85637.3,1.0,0.0,0.4585,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,전북,charge_kwh_sum,34597.48,34597.48,102265.9,1.0,0.0,0.6028,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,전남,charge_kwh_sum,87570.08,87570.08,130534.52,1.0,0.0,1.6269,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,경북,charge_kwh_sum,79301.93,79301.93,132197.38,1.0,0.0,0.5455,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,경남,charge_kwh_sum,102095.14,102095.14,151320.27,1.0,0.0,1.2273,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-03,2019,3,제주,charge_kwh_sum,156854.53,156854.53,138017.39,1.0,0.0,2.5602,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,서울,charge_kwh_sum,82343.15,82343.15,376901.83,1.0,0.0,2.2049,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,부산,charge_kwh_sum,37854.19,37854.19,89981.07,1.0,0.0,2.0446,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,대구,charge_kwh_sum,133562.82,133562.82,124785.06,1.0,0.0,2.2181,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,인천,charge_kwh_sum,27686.51,27686.51,89981.07,1.0,0.0,1.2018,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,광주,charge_kwh_sum,32140.88,32140.88,56025.95,1.0,0.0,2.305,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,대전,charge_kwh_sum,37879.77,37879.77,65363.6,1.0,0.0,1.7782,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,울산,charge_kwh_sum,12515.33,12515.33,30559.61,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,세종,charge_kwh_sum,56810.87,56810.87,47537.17,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,경기,charge_kwh_sum,166128.67,166128.67,460091.87,1.0,0.0,1.1309,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,강원,charge_kwh_sum,72391.17,72391.17,123087.31,1.0,0.0,1.1109,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,충북,charge_kwh_sum,71633.65,71633.65,111203.02,1.0,0.0,0.688,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,충남,charge_kwh_sum,54312.55,54312.55,87434.43,1.0,0.0,0.4585,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,전북,charge_kwh_sum,50900.59,50900.59,104411.99,1.0,0.0,0.6028,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,전남,charge_kwh_sum,105883.96,105883.96,133273.84,1.0,0.0,1.6269,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,경북,charge_kwh_sum,99184.75,99184.75,134971.6,1.0,0.0,0.5455,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,경남,charge_kwh_sum,117204.98,117204.98,154495.79,1.0,0.0,1.2273,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-04,2019,4,제주,charge_kwh_sum,181328.7,181328.7,140913.75,1.0,0.0,2.5602,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,서울,charge_kwh_sum,108083.99,108083.99,405410.53,1.0,0.0,2.2049,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,부산,charge_kwh_sum,50411.65,50411.65,96787.2,1.0,0.0,2.0446,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,대구,charge_kwh_sum,152342.03,152342.03,134223.76,1.0,0.0,2.2181,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,인천,charge_kwh_sum,36708.55,36708.55,96787.2,1.0,0.0,1.2018,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,광주,charge_kwh_sum,43363.3,43363.3,60263.73,1.0,0.0,2.305,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,대전,charge_kwh_sum,66537.84,66537.84,70307.68,1.0,0.0,1.7782,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
