기준월,연도,월,권역,충전속도코드,충전속도,누적충전기,지리단위,출처ID,전국대비비중
2023-12,2023,12,전국,완속,완속,253746,national,me_charger_status_cumulative_stock_monthly,100.0
2023-12,2023,12,전라,완속,완속,22824,region8,me_charger_status_cumulative_stock_monthly,9.0
2023-12,2023,12,제주,완속,완속,5463,region8,me_charger_status_cumulative_stock_monthly,2.2
2023-12,2023,12,충청,완속,완속,29634,region8,me_charger_status_cumulative_stock_monthly,11.7
2024-01,2024,1,강원,급속,급속,1995,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-01,2024,1,경기,급속,급속,7647,region8,me_charger_status_cumulative_stock_monthly,21.7
2024-01,2024,1,경상,급속,급속,9034,region8,me_charger_status_cumulative_stock_monthly,25.6
2024-01,2024,1,서울,급속,급속,4147,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-01,2024,1,인천,급속,급속,1334,region8,me_charger_status_cumulative_stock_monthly,3.8
2024-01,2024,1,전국,급속,급속,35291,national,me_charger_status_cumulative_stock_monthly,100.0
2024-01,2024,1,전라,급속,급속,4409,region8,me_charger_status_cumulative_stock_monthly,12.5
2024-01,2024,1,제주,급속,급속,2076,region8,me_charger_status_cumulative_stock_monthly,5.9
2024-01,2024,1,충청,급속,급속,4649,region8,me_charger_status_cumulative_stock_monthly,13.2
2024-01,2024,1,강원,완속,완속,8950,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-01,2024,1,경기,완속,완속,75043,region8,me_charger_status_cumulative_stock_monthly,28.0
2024-01,2024,1,경상,완속,완속,61936,region8,me_charger_status_cumulative_stock_monthly,23.1
2024-01,2024,1,서울,완속,완속,46005,region8,me_charger_status_cumulative_stock_monthly,17.2
2024-01,2024,1,인천,완속,완속,14935,region8,me_charger_status_cumulative_stock_monthly,5.6
2024-01,2024,1,전국,완속,완속,268111,national,me_charger_status_cumulative_stock_monthly,100.0
2024-01,2024,1,전라,완속,완속,24103,region8,me_charger_status_cumulative_stock_monthly,9.0
2024-01,2024,1,제주,완속,완속,5614,region8,me_charger_status_cumulative_stock_monthly,2.1
2024-01,2024,1,충청,완속,완속,31525,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-02,2024,2,강원,급속,급속,2034,region8,me_charger_status_cumulative_stock_monthly,5.6
2024-02,2024,2,경기,급속,급속,7949,region8,me_charger_status_cumulative_stock_monthly,21.8
2024-02,2024,2,경상,급속,급속,9294,region8,me_charger_status_cumulative_stock_monthly,25.5
2024-02,2024,2,서울,급속,급속,4268,region8,me_charger_status_cumulative_stock_monthly,11.7
2024-02,2024,2,인천,급속,급속,1391,region8,me_charger_status_cumulative_stock_monthly,3.8
2024-02,2024,2,전국,급속,급속,36418,national,me_charger_status_cumulative_stock_monthly,100.0
2024-02,2024,2,전라,급속,급속,4546,region8,me_charger_status_cumulative_stock_monthly,12.5
2024-02,2024,2,제주,급속,급속,2097,region8,me_charger_status_cumulative_stock_monthly,5.8
2024-02,2024,2,충청,급속,급속,4839,region8,me_charger_status_cumulative_stock_monthly,13.3
