지표코드,지표명,기준월,연도,월,권역,대당충전기,권역구성비,평균여부,지리단위,출처ID
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,충청,0.86,14.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,전라,0.94,15.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,경상,0.72,11.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,제주,0.5,8.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,서울,0.64,10.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,경기,0.78,12.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,강원,1.39,22.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,충청,0.85,13.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,전라,0.92,15.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,경상,0.71,11.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,제주,0.49,8.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-12,2025,12,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,서울,0.64,10.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,경기,0.78,12.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,강원,1.39,22.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,충청,0.85,13.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,전라,0.93,15.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,경상,0.71,11.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,제주,0.48,7.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-01,2026,1,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,서울,0.64,10.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,경기,0.78,12.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,강원,1.39,22.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,충청,0.85,13.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,전라,0.93,15.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,경상,0.71,11.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,제주,0.48,7.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-02,2026,2,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,서울,0.64,10.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,경기,0.77,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,강원,1.38,22.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,충청,0.85,14.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,전라,0.93,15.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,경상,0.71,11.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,제주,0.48,7.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-03,2026,3,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,서울,0.65,10.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,경기,0.77,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,강원,1.38,22.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,충청,0.85,14.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,전라,0.93,15.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,경상,0.71,11.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,제주,0.47,7.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2026-04,2026,4,평균,0.76,,1,average8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,서울,5.27,18.8,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,경기,4.51,16.1,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,인천,2.09,7.5,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,강원,4.38,15.7,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,충청,3.75,13.4,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,전라,3.34,11.9,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,경상,3.44,12.3,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,제주,1.18,4.2,0,region8,me_charger_status_ev_per_charger_ratio
완속_대당,전기차 1대당 완속충전기 수,2024-01,2024,1,평균,3.49,,1,average8,me_charger_status_ev_per_charger_ratio
